timestamp,event,data
0.000000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 0"", ""wall_time_utc"": ""2026-09-01T01:45:05.471290+00:00""}"
0.000000000,SLAM_PATH_CREATED,"{""node"": ""/Navigator"", ""path"": [20, 37, 17, 16, 15, 14, 15, 13, 17, 12, 17, 11, 18, 10, 36, 9, 36, 8, 0, 35, 1, 35, 6, 19, 38, 20, 38, 26, 21, 22, 21, 23, 21, 24, 21, 25, 27, 31, 32, 29, 32, 30, 32, 28, 33, 38, 33, 7, 5, 4, 3, 34, 2, 35], ""wall_time_utc"": ""2026-09-01T01:45:05.474524+00:00""}"
0.000000000,LOOP_INSERTED,"{""path_index"": 25, ""vertex"": 20, ""wall_time_utc"": ""2026-09-01T01:45:05.474667+00:00""}"
0.000000000,LOOP_INSERTED,"{""path_index"": 45, ""vertex"": 38, ""wall_time_utc"": ""2026-09-01T01:45:05.474691+00:00""}"
0.000000000,LOOP_INSERTED,"{""path_index"": 53, ""vertex"": 35, ""wall_time_utc"": ""2026-09-01T01:45:05.474705+00:00""}"
17.500000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-09-01T01:45:23.311484+00:00""}"
17.500000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 0"", ""wall_time_utc"": ""2026-09-01T01:45:23.313549+00:00""}"
17.500000000,GOAL_REACHED,"{""vertex"": 20, ""wall_time_utc"": ""2026-09-01T01:45:23.315792+00:00""}"
18.500000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-09-01T01:45:24.324651+00:00""}"
18.500000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 0"", ""wall_time_utc"": ""2026-09-01T01:45:24.327050+00:00""}"
24.500000000,LOCAL_REPLAN,"{""message"": ""Call local replanning..."", ""wall_time_utc"": ""2026-09-01T01:45:30.308012+00:00""}"
24.500000000,REPLAN_REQUESTED,"{""message"": ""Replanning request. curr_vertex_idx: 0"", ""wall_time_utc"": ""2026-09-01T01:45:30.309798+00:00""}"
